22.83793	36.40000
26.56941	32.00000
25.93421	32.20000
20.04007	25.00000
34.13623	38.10000
25.23332	25.80000
35.70399	32.00000
25.80393	28.00000
25.23332	37.00000
24.50994	32.40000
34.51208	44.60000
35.70399	38.00000
22.83453	24.30000
21.16936	32.70000
27.13253	26.60000
26.37871	38.00000
24.20586	24.00000
29.77419	33.00000
24.50994	32.00000
27.70432	43.40000
26.10461	34.00000
20.16963	19.10000
21.53110	23.00000
22.63866	23.50000
35.88525	34.40000
20.04007	22.40000
18.86754	30.70000
23.12932	31.60000
34.50803	34.10000
24.50654	28.00000
22.65880	33.50000
33.48011	37.00000
36.67741	35.10000
28.63601	37.30000
23.85071	31.00000
23.76207	30.00000
25.23332	29.00000
22.76964	44.00000
23.85071	27.00000
30.71513	36.00000
26.37871	34.50000
23.85071	27.20000
23.41393	27.00000
18.86280	23.90000
25.18680	34.20000
24.04141	36.00000
25.80393	28.40000
24.51193	31.00000
19.50667	26.80000
20.25336	24.20000
26.10461	27.00000
35.70399	37.20000
36.19701	32.30000
21.53110	27.20000
21.53110	28.10000
25.49863	41.50000
29.98690	36.00000
29.98690	33.70000
21.19415	38.00000
35.70399	31.80000
25.31705	27.90000
20.95686	22.00000
26.37871	34.70000
29.66053	32.10000
25.19461	46.60000
24.20586	27.00000
22.36593	23.70000
22.63866	28.80000
35.70399	37.00000
34.50803	31.00000
37.79332	44.30000
35.10965	39.10000
25.31705	32.90000
36.19701	40.90000
24.50654	29.90000
26.10461	28.00000
33.93971	39.00000
28.18713	35.00000
22.65880	30.00000
25.53446	23.60000
34.13623	37.70000
24.50994	29.80000
35.70399	38.00000
26.10801	26.00000
29.66053	36.00000
35.74081	36.00000
28.63601	33.80000
25.49863	34.30000
21.26094	25.40000
29.98690	32.40000
25.93421	34.00000
26.10801	34.50000
18.56686	20.20000
20.04137	26.60000
20.46901	17.60000
29.98690	40.80000
24.15724	31.30000
24.50654	26.40000
38.27613	29.80000
